speciePro,conteggioAppezzamenti,numeroDonne,percentuale
casa,590,324,34.28239395700174317300
bottega,270,146,15.68855316676350958700
orto,152,135,8.83207437536316095300
casa_e_corte,132,126,7.66995932597327135400
stabile_(porzione),109,1,6.33352701917489831500
fabbricato,67,55,3.89308541545613015700
ingresso,57,55,3.31202789076118535700
magazzino,50,33,2.90528762347472399800
palazzo_e_corte,16,15,0.92969203951191167900
ingresso_e_casa,14,16,0.81348053457292271900
bottega_e_casa,14,9,0.81348053457292271900
casa_(porzione),12,12,0.69726902963393375900
rimessa,11,14,0.63916327716443927900
palazzo,10,10,0.58105752469494480000
casa_e_bottega,10,7,0.58105752469494480000
"casa,_corte_e_fabbricato",9,7,0.52295177222545032000
bottega_e_corte,8,8,0.46484601975595584000
stanza,7,6,0.40674026728646136000
stalla,7,8,0.40674026728646136000
corte,6,7,0.34863451481696688000
